student_id,gender,age,attendance_percent,study_hours_per_week,parental_education,previous_exam_score,math_score,science_score,english_score,internet_access,extracurricular_activities,socio_economic_status,school_type,performance_level
S0001,Female,17,85.4,2.5,Postgraduate,65.3,39.6,41.4,30.9,No,Yes,High,Private,High
S0002,Male,16,93.8,8.5,High school,81.2,19.4,23.7,24.1,No,Yes,Low,Private,Medium
S0003,Male,16,71.2,16.8,High school,55.6,38.6,48.5,34.5,Yes,No,Low,Private,High
S0004,Female,15,90.2,14.6,No formal,86.7,30.3,16.3,34.0,No,No,Low,Private,Medium
S0005,Male,17,92.5,10.9,Diploma,59.0,6.9,7.0,2.0,Yes,No,Middle,Private,Low
S0006,Female,18,88.8,4.7,Undergraduate,75.1,11.7,3.1,15.5,Yes,No,Low,Public,Low
S0007,Female,16,86.2,7.0,Diploma,79.4,17.5,9.4,7.3,Yes,No,High,Public,Low
S0008,Male,18,87.8,5.8,Diploma,86.6,31.7,32.7,14.0,No,Yes,Low,Private,Medium
S0009,Female,17,87.0,4.9,Undergraduate,89.9,35.3,46.4,48.0,No,Yes,Middle,Private,High
S0010,Female,18,75.8,9.0,No formal,45.2,31.7,45.0,40.7,Yes,No,Low,Private,High
S0011,Female,18,92.2,15.0,Postgraduate,73.5,34.6,32.0,38.0,No,No,High,Public,High
S0012,Male,17,85.5,2.6,Undergraduate,42.9,48.3,40.2,46.5,No,No,Low,Private,High
S0013,Male,15,87.8,16.8,High school,76.5,9.4,8.7,0.4,Yes,No,Middle,Public,Low
S0014,Male,18,71.1,10.5,Diploma,52.0,26.4,30.3,14.0,Yes,No,Low,Private,Medium
S0015,Male,18,79.6,17.5,Postgraduate,95.5,30.6,23.8,18.2,Yes,No,Middle,Public,Medium
S0016,Male,18,80.7,13.2,Diploma,59.9,33.6,24.2,20.8,No,Yes,High,Private,Medium
S0017,Male,18,97.0,14.7,Postgraduate,50.3,11.4,6.1,14.6,No,No,Middle,Public,Low
S0018,Female,17,89.9,10.7,No formal,68.1,31.9,17.2,28.9,Yes,No,Low,Public,Medium
S0019,Female,16,79.2,15.0,No formal,80.6,30.8,36.2,39.7,No,Yes,Middle,Public,High
S0020,Female,15,83.7,14.7,Undergraduate,72.3,29.8,14.7,15.5,Yes,Yes,Low,Private,Medium
S0021,Male,18,76.6,12.1,No formal,44.2,6.4,7.0,9.7,No,Yes,Middle,Public,Low
S0022,Female,18,98.7,11.4,High school,78.8,17.1,4.1,11.8,No,No,Low,Private,Low
S0023,Female,17,83.1,4.7,Diploma,75.6,16.9,14.8,31.0,No,Yes,High,Private,Medium
S0024,Female,18,79.0,11.1,Diploma,65.1,36.4,46.7,49.6,Yes,Yes,Low,Public,High
S0025,Female,15,77.6,13.4,Undergraduate,90.4,4.0,0.1,12.4,Yes,No,Low,Public,Low
S0026,Male,16,99.5,4.0,Diploma,65.1,49.3,36.5,43.6,Yes,No,Low,Public,High
S0027,Male,15,88.0,6.9,Undergraduate,90.4,40.8,37.7,49.3,No,No,Low,Public,High
S0028,Male,15,89.9,7.5,High school,50.1,5.4,5.3,13.9,Yes,No,Middle,Public,Low
S0029,Female,17,93.1,1.4,Postgraduate,78.5,48.8,43.8,43.1,No,No,High,Private,High
S0030,Female,16,87.0,15.5,No formal,79.2,40.7,31.8,46.3,Yes,No,Middle,Public,High
S0031,Male,18,80.9,12.7,Postgraduate,76.7,14.9,8.3,16.2,Yes,No,Low,Public,Low
S0032,Female,18,86.6,15.1,No formal,81.5,3.4,4.4,14.1,No,No,High,Public,Low
S0033,Female,17,73.7,5.3,Diploma,69.0,17.5,7.2,9.2,No,No,Middle,Public,Low
S0034,Female,17,73.7,1.9,Undergraduate,95.9,40.4,35.1,27.6,Yes,No,Low,Private,High
S0035,Male,17,78.8,8.9,High school,87.9,35.9,43.1,43.4,Yes,Yes,High,Private,High
S0036,Male,15,92.4,8.5,Postgraduate,55.0,7.6,14.4,10.0,No,No,Low,Public,Low
S0037,Male,17,90.8,3.6,High school,92.8,11.6,3.5,0.7,Yes,Yes,Middle,Public,Low
S0038,Male,16,87.7,9.4,Postgraduate,46.3,45.8,37.4,37.6,No,No,Low,Private,High
S0039,Female,18,98.1,15.6,Diploma,66.5,22.7,18.0,16.3,No,No,High,Public,Medium
